Seção;Divisão;Grupo;Classe;Denominação
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de produtos de consumo não-alimentar;46427;Comércio atacadista de artigos do vestuário e acessórios
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em produtos alimentícios, bebidas e fumo;46354;Comércio atacadista de bebidas
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de matérias-primas agrícolas e animais vivos;46214;Comércio atacadista de café em grão
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de produtos de consumo não-alimentar;46435;Comércio atacadista de calçados e artigos de viagem
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em produtos alimentícios, bebidas e fumo;46346;Comércio atacadista de carnes, produtos da carne e pescado
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em produtos alimentícios, bebidas e fumo;46320;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção;46745;Comércio atacadista de cimento
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em outros produtos;46818;Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de equipamentos e produtos de tecnologias de informação e comunicação;46524;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de equipamentos e produtos de tecnologias de informação e comunicação;46516;Comércio atacadista de computadores, periféricos e suprimentos de informática
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de produtos de consumo não-alimentar;46460;Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em outros produtos;46834;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo
ELETRICIDADE E GÁS;ELETRICIDADE, GÁS E OUTRAS UTILIDADES;Geração, transmissão e distribuição de energia elétrica;35131;Comércio atacadista de energia elétrica
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de produtos de consumo não-alimentar;46494;Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção;46729;Comércio atacadista de ferragens e ferramentas
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em outros produtos;46826;Comércio atacadista de gás liqüefeito de petróleo (GLP)
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em produtos alimentícios, bebidas e fumo;46338;Comércio atacadista de hortifrutigranjeiros
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de produtos de consumo não-alimentar;46451;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em produtos alimentícios, bebidas e fumo;46311;Comércio atacadista de leite e laticínios
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção;46711;Comércio atacadista de madeira e produtos derivados
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;46656;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças"
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;46630;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças"
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;46699;"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças"
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;46613;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças"
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;46648;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças"
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;46621;"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças"
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção;46737;Comércio atacadista de material elétrico
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista não-especializado;46923;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista não-especializado;46915;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista não-especializado;46931;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em outros produtos;46869;Comércio atacadista de papel e papelão em bruto e de embalagens
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em produtos alimentícios, bebidas e fumo;46397;Comércio atacadista de produtos alimentícios em geral
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em produtos alimentícios, bebidas e fumo;46362;Comércio atacadista de produtos do fumo
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de produtos de consumo não-alimentar;46443;Comércio atacadista de produtos farmacêuticos para uso humano e veterinário
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em outros produtos;46842;Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em outros produtos;46851;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em outros produtos;46877;Comércio atacadista de resíduos e sucatas
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de matérias-primas agrícolas e animais vivos;46222;Comércio atacadista de soja
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de produtos de consumo não-alimentar;46419;Comércio atacadista de tecidos, artefatos de tecidos e de armarinho
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção;46796;Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em outros produtos;46893;Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista especializado em produtos alimentícios, bebidas e fumo;46371;Comércio atacadista especializado em produtos alimentícios não especificados anteriormente
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio de peças e acessórios para veículos automotores;45307;Comércio de peças e acessórios para veículos automotores
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio, manutenção e reparação de motocicletas, peças e acessórios;45412;Comércio por atacado e a varejo de motocicletas, peças e acessórios
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos;47741;Comércio varejista de artigos de óptica
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47598;Comércio varejista de artigos de uso doméstico não especificados anteriormente
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47814;Comércio varejista de artigos do vestuário e acessórios
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos;47733;Comércio varejista de artigos médicos e ortopédicos
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de artigos culturais, recreativos e esportivos;47636;Comércio varejista de artigos recreativos e esportivos
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47857;Comércio varejista de artigos usados
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos alimentícios, bebidas e fumo;47237;Comércio varejista de bebidas
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47822;Comércio varejista de calçados e artigos de viagem
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos alimentícios, bebidas e fumo;47229;Comércio varejista de carnes e pescados - açougues e peixarias
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de combustíveis para veículos automotores;47318;Comércio varejista de combustíveis para veículos automotores
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos;47725;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de artigos culturais, recreativos e esportivos;47628;Comércio varejista de discos, CDs, DVDs e fitas
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de material de construção;47440;Comércio varejista de ferragens, madeira e materiais de construção
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47849;Comércio varejista de gás liqüefeito de petróleo (GLP)
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos alimentícios, bebidas e fumo;47245;Comércio varejista de hortifrutigranjeiros
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47831;Comércio varejista de jóias e relógios
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de artigos culturais, recreativos e esportivos;47610;Comércio varejista de livros, jornais, revistas e papelaria
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de combustíveis para veículos automotores;47326;Comércio varejista de lubrificantes
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de material de construção;47423;Comércio varejista de material elétrico
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista não-especializado;47113;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista não-especializado;47121;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista não-especializado;47130;Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47890;Comércio varejista de outros produtos novos não especificados anteriormente
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos alimentícios, bebidas e fumo;47296;"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo"
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos alimentícios, bebidas e fumo;47211;Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos;47717;Comércio varejista de produtos farmacêuticos para uso humano e veterinário
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de material de construção;47415;Comércio varejista de tintas e materiais para pintura
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio varejista de material de construção;47431;Comércio varejista de vidros
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47539;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47521;Comércio varejista especializado de equipamentos de telefonia e comunicação
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47512;Comércio varejista especializado de equipamentos e suprimentos de informática
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47563;Comércio varejista especializado de instrumentos musicais e acessórios
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47547;Comércio varejista especializado de móveis, colchoaria e artigos de iluminação
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47571;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;"Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico";47555;Comércio varejista especializado de tecidos e artigos de cama, mesa e banho
TRANSPORTE, ARMAZENAGEM E CORREIO;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;Atividades auxiliares dos transportes terrestres;52214;Concessionárias de rodovias, pontes, túneis e serviços relacionados
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS;Serviços combinados para apoio a edifícios;81125;Condomínios prediais
INDÚSTRIAS DE TRANSFORMAÇÃO;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;Confecção de artigos do vestuário e acessórios;14126;Confecção de peças do vestuário, exceto roupas íntimas
INDÚSTRIAS DE TRANSFORMAÇÃO;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;Confecção de artigos do vestuário e acessórios;14118;Confecção de roupas íntimas
INDÚSTRIAS DE TRANSFORMAÇÃO;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;Confecção de artigos do vestuário e acessórios;14134;Confecção de roupas profissionais
CONSTRUÇÃO;CONSTRUÇÃO DE EDIFÍCIOS;Construção de edifícios;41204;Construção de edifícios
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;Construção de embarcações;30113;Construção de embarcações e estruturas flutuantes
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;Construção de embarcações;30121;Construção de embarcações para esporte e lazer
CONSTRUÇÃO;OBRAS DE INFRA-ESTRUTURA;Construção de rodovias, ferrovias, obras urbanas e obras-de-arte especiais;42120;Construção de obras-de-arte especiais
CONSTRUÇÃO;OBRAS DE INFRA-ESTRUTURA;Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos;42227;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas
CONSTRUÇÃO;OBRAS DE INFRA-ESTRUTURA;Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos;42235;Construção de redes de transportes por dutos, exceto para água e esgoto
CONSTRUÇÃO;OBRAS DE INFRA-ESTRUTURA;Construção de rodovias, ferrovias, obras urbanas e obras-de-arte especiais;42111;Construção de rodovias e ferrovias
INFORMAÇÃO E COMUNICAÇÃO;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;Atividades dos serviços de tecnologia da informação;62040;Consultoria em tecnologia da informação
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS;Coquerias;19101;Coquerias
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde;66223;Corretores e agentes de seguros, de planos de previdência complementar e de saúde
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES DE SERVIÇOS FINANCEIROS;Intermediação monetária - depósitos à vista;64247;Crédito cooperativo
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES DE SERVIÇOS FINANCEIROS;Intermediação não-monetária - outros instrumentos de captação;64352;Crédito imobiliário
ARTES, CULTURA, ESPORTE E RECREAÇÃO;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS;Atividades artísticas, criativas e de espetáculos;90027;Criação artística
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Pecuária;1598;Criação de animais não especificados anteriormente
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Pecuária;1555;Criação de aves
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Pecuária;1512;Criação de bovinos
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Pecuária;1539;Criação de caprinos e ovinos
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Pecuária;1521;Criação de outros animais de grande porte
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Pecuária;1547;Criação de suínos
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Pecuária;144;Criação de suínos
