Seção;Divisão;Grupo;Classe;Denominação
EDUCAÇÃO;EDUCAÇÃO;Atividades de apoio à educação;85503;Atividades de apoio à educação
INDÚSTRIAS EXTRATIVAS;ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS;Atividades de apoio à extração de minerais, exceto petróleo e gás natural;9904;Atividades de apoio à extração de minerais, exceto petróleo e gás natural
INDÚSTRIAS EXTRATIVAS;ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS;Atividades de apoio à extração de petróleo e gás natural;9106;Atividades de apoio à extração de petróleo e gás natural
SAÚDE HUMANA E SERVIÇOS SOCIAIS;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Atividades de apoio à gestão de saúde;86607;Atividades de apoio à gestão de saúde
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;"Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita";1628;Atividades de apoio à pecuária
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;PRODUÇÃO FLORESTAL;Atividades de apoio à produção florestal;2306;Atividades de apoio à produção florestal
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;PRODUÇÃO FLORESTAL;Atividades de apoio à produção florestal;213;Atividades de apoio à produção florestal
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;PRODUÇÃO FLORESTAL;Atividades de apoio à produção florestal;21;Atividades de apoio à produção florestal
SAÚDE HUMANA E SERVIÇOS SOCIAIS;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes, e de infra-estrutura e apoio a pacientes prestadas em residências coletivas e particulares;87115;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares
SAÚDE HUMANA E SERVIÇOS SOCIAIS;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química;87204;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
